district_code,rural_data_student_count,absence_data_chronically_absent_rate,dist_grad_data_all_students_graduation_rate,dist_grad_data_female_graduation_rate,dist_grad_data_male_graduation_rate,dist_grad_data_american_indian_or_alaska_native_graduation_rate,dist_grad_data_asian_graduation_rate,dist_grad_data_black_or_african_american_graduation_rate,dist_grad_data_hispanic_or_latino_graduation_rate,dist_grad_data_white_graduation_rate,dist_grad_data_native_hawaiian_or_other_pacific_islander_graduation_rate,dist_grad_data_two_or_more_races_graduation_rate,dist_grad_data_county_code,cmas_results_data_participation_rate_2023,cmas_results_data_mean_scale_score,cmas_results_data_standard_deviation,cmas_results_data_percent_met_or_exceeded_expectations,cmas_results_data_congressional_district,district_cmas_content_code,dist_dropout_data_dropout_rate:_all_students,dist_dropout_data_female_dropout_rate,dist_dropout_data_male_dropout_rate,dist_dropout_data_american_indian_or_alaska_native_dropout_rate,dist_dropout_data_asian_dropout_rate,dist_dropout_data_black_or_african_american_dropout_rate,dist_dropout_data_hispanic_or_latino_dropout_rate,dist_dropout_data_white_dropout_rate,dist_dropout_data_native_hawaiian_or_other_pacific_islander_dropout_rate,dist_dropout_data_two_or_more_races_dropout_rate,dist_dropout_data_county_code,avg_teacher_salary_charter_schools_total_fte,avg_teacher_salary_charter_schools_average_salary,avg_teacher_salary_non-charter_schools_total_fte,avg_teacher_salary_non-charter_schools_average_salary,avg_teacher_salary_all_schools_total_fte,avg_teacher_salary_all_schools_average_salary,psych_stud_ratio_position_head_count,psych_stud_ratio_pupil/position_fte_ratio,counselor_stud_ratio_position_headcount,counselor_stud_ratio_pupil/position_fte_ratio,so_worker_stud_ratio_position_headcount,so_worker_stud_ratio_pupil/position_fte_ratio,teacher_demo_data__american_indian_or_alaska_native_female,teacher_demo_data_american_indian_or_alaska_native_male,teacher_demo_data_american_indian_or_alaska_native_total,teacher_demo_data_asian_female,teacher_demo_data_asian_male,teacher_demo_data_asian_total,teacher_demo_data_black_or_african_american_female,"teacher_demo_data_black_or_african_american		_male",teacher_demo_data_black_or_african_american_total,teacher_demo_data_hispanic_or_latino_female,teacher_demo_data_hispanic_or_latino_male,teacher_demo_data_hispanic_or_latino_total,teacher_demo_data_native_hawaiian_or_other_pacific_islander_female,teacher_demo_data_native_hawaiian_or_other_pacific_islander_male,teacher_demo_data_native_hawaiian_or_other_pacific_islander_total,teacher_demo_data_two_or_more_races_female,teacher_demo_data_two_or_more_races_male,teacher_demo_data_two_or_more_races_total,teacher_demo_data_white_female,teacher_demo_data_white_male,teacher_demo_data_white_total,teacher_demo_data_total_teachers,principal_demo_data__american_indian_or_alaska_native_female,principal_demo_data_american_indian_or_alaska_native_male,principal_demo_data_american_indian_or_alaska_native_total,principal_demo_data_asian_female,principal_demo_data_asian_male,principal_demo_data_asian_total,principal_demo_data_black_or_african_american_female,principal_demo_data_black_or_african_american_male,principal_demo_data_black_or_african_american_total,principal_demo_data_hispanic_or_latino_female,principal_demo_data_hispanic_or_latino_male,principal_demo_data_hispanic_or_latino_total,principal_demo_data_native_hawaiian_or_other_pacific_islander_female,principal_demo_data_native_hawaiian_or_other_pacific_islander_male,principal_demo_data_native_hawaiian_or_other_pacific_islander_total,principal_demo_data_two_or_more_races_female,principal_demo_data_two_or_more_races_male,principal_demo_data_two_or_more_races_total,principal_demo_data_white_female,principal_demo_data_white_male,principal_demo_data_white_total,principal_demo_data_total_principals,avg_admin_salary_total_fte,avg_admin_salary_average_salary,personel_turnover_data_difference,personel_turnover_data_people_returned,personel_turnover_data_people_left,personel_turnover_data_new_people,personel_turnover_data_turnover_rate,dist_stud_teach_ratio_pupil/teacher_fte_ratio,county_code,absence_data_county_code,ipst_data_county_code,ipst_data_total_pk-12_pupil_membership,ipst_data_gifted_and_talented,ipst_data_special_education,ipst_data_online,ipst_data_el_incl._m1_and_m2,ipst_data_homeless,ipst_data_section_504_handicapped,ipst_data_immigrant,ipst_data_migrant,rural_data_rural_code
1110,25190,0.355,0.557,0.599,0.518,0.273,0.897,0.586,0.418,0.648,0.5,0.698,20,92.8,744,33,44.5,5,0,0.09,0.088,0.092,0.212,0.011,0.092,0.132,0.066,0.048,0.065,20,509.6911,43120,752.195,54791,1261.8861,50077,15,1697,57,451,15,1651,9,1,10,16,6,22,18,10,28,66,29,95,2,1,3,14,2,16,841,232,1073,1247,1,0,1,0,1,1,1,4,5,7,0,7,0,0,0,0,0,0,50,26,76,90,88.0319,87635,-178,2019,743,921,0.269007965,20,20,21,21,25616,1137,2867,6322,1103,130,1002,83,16,0
120,2205,0.427,0.642,0.636,0.647,0.02,0.98,0.98,0.722,0.581,0.02,0.5,2,95.3,735,37,37.1,6,0,0.047,0.044,0.05,0.005,0.005,0.019,0.038,0.058,0.005,0.054,2,0,0,180.2712,66578,180.2712,66578,7,352,7,348,4,685,1,0,1,1,1,2,1,0,1,14,1,15,0,0,0,0,0,0,121,49,170,189,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18,19,15.294,105799,7,361,96,89,0.210065646,14,2,3,3,2441,58,416,8,205,122,134,22,,0
10,6554,0.427,0.685,0.716,0.654,0.333,0.98,0.98,0.703,0.492,0.02,0.692,0,93.7,723,32,21.8,8,0,0.033,0.028,0.038,0.133,0.005,0.039,0.031,0.037,0.005,0.04,0,0,0,403.4928,73911,403.4928,73911,9,788,6,1181,9,805,1,0,1,3,2,5,2,3,5,50,16,66,4,0,4,0,0,0,239,90,329,410,0,0,0,1,0,1,0,0,0,2,3,5,0,0,0,0,0,0,21,12,33,39,36.4,111485,76,685,329,253,0.324457594,18,0,1,1,7088,395,888,195,2327,82,76,76,10,0
30,5293,0.468,0.688,0.758,0.621,0.02,0.98,0.875,0.708,0.5,0.02,0.25,0,93.7,715,32,14.1,8,0,0.056,0.046,0.065,0.048,0.167,0.119,0.054,0.056,0.667,0.029,0,0,0,328.9889,68314,328.9889,68314,6,990,11,524,5,1182,1,2,3,5,0,5,10,3,13,80,23,103,1,1,2,0,0,0,144,75,219,345,0,0,0,0,0,0,0,1,1,4,7,11,0,0,0,0,0,0,9,6,15,27,26.726,104591,-43,595,221,264,0.270833333,18,0,1,1,5692,186,809,44,2353,87,55,204,6,0
2035,2388,0.498,0.696,0.734,0.658,0.535,0.02,0.02,0.688,0.782,0.02,0.98,42,96.2,726,36,27.4,3,0,0.045,0.029,0.06,0.066,0.005,0.143,0.046,0.035,0.005,0.029,42,30.0118,40946,116.9828,46216,146.9946,45140,2,1132,12,195,2,1018,4,0,4,0,0,0,1,0,1,8,4,12,1,0,1,0,0,0,98,32,130,148,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,6,16,17,15.2507,69782,35,270,149,114,0.355608592,16,42,42,42,2461,120,386,0,82,13,53,,4,1
70,7430,0.379,0.697,0.774,0.629,0.333,0.864,0.556,0.713,0.61,0.5,0.6,0,97,727,34,24.8,8,0,0.035,0.032,0.039,0.143,0.008,0.035,0.032,0.054,0.005,0.052,0,0,0,472.3631,75114,472.3631,75114,15,529,21,376,6,1326,0,0,0,6,4,10,3,2,5,55,9,64,1,0,1,13,2,15,297,79,376,471,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,1,1,15,10,25,34,34.091,122886,8,857,183,175,0.175961538,17,0,1,1,8004,299,1098,55,2201,376,83,79,12,0
1010,21759,0.404,0.701,0.732,0.67,0.438,0.789,0.696,0.652,0.743,0.667,0.667,20,93.4,735,37,35.8,5,0,0.037,0.036,0.038,0.051,0.013,0.052,0.045,0.031,0.043,0.027,20,107.2471,43313,1333.8846,60495,1441.1317,59216,22,1292,96,253,25,1117,1,1,2,17,2,19,35,16,51,102,40,142,4,1,5,27,9,36,910,310,1220,1475,0,0,0,0,2,2,2,2,4,5,1,6,0,0,0,3,1,4,52,33,85,101,95.1659,96101,-16,2751,822,838,0.230058774,16,20,21,21,22729,1500,2783,606,1465,316,580,448,10,0
123,995,0.328,0.721,0.717,0.725,0.98,0.98,0.02,0.711,0.727,0.02,0.98,2,97.1,718,31,14.1,6,0,0.038,0.03,0.047,0.286,0.005,0.05,0.034,0.046,0.005,0.059,2,0,0,76.853,64813,76.853,64813,1,1125,2,589,5,164,1,0,1,0,0,0,0,0,0,7,1,8,1,0,1,0,0,0,47,18,65,75,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,3,1,4,7,6.9831,124710,28,144,94,66,0.394957983,15,2,3,3,1125,52,122,17,343,205,,19,,0
3020,2007,0.283,0.73,0.847,0.646,0.02,0.98,0.02,0.6,0.755,0.98,0.98,61,94.5,743,34,45,7,0,0.009,0.006,0.012,0.005,0.005,0.005,0.022,0.007,0.005,0.018,61,23.923,46695,126.473,55152,150.396,53807,2,10028,8,264,8,213,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,121,33,154,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,8,8,101546,-71,230,76,147,0.248366013,14,61,60,60,2122,86,242,26,62,9,45,,,1
8001,21703,0.272,0.735,0.747,0.722,0.6,0.783,0.698,0.687,0.764,0.98,0.755,45,91.9,741,35,41.6,1,0,0.015,0.012,0.018,0.005,0.026,0.025,0.03,0.005,0.005,0.005,45,1130.0678,48647,0,0,1130.0678,48647,16,2354,61,389,11,2155,5,0,5,22,8,30,20,13,33,90,24,114,2,1,3,12,4,16,709,289,998,1199,0,0,0,0,0,0,1,0,1,4,7,11,1,0,1,1,0,1,46,26,72,86,85.6351,85791,14,1566,988,974,0.386844166,19,45,98,98,22003,687,1632,255,2827,60,881,105,23,0
