district_code,ayg_cohort_size_(all_students),all_students_graduation_rate,students_with_disabilities_ayg_cohort,students_with_disabilities_graduation_rate,english_learners_ayg_cohort,english_learners_graduation_rate,econ._disadvant._ayg_cohort,econ._disadvant._graduation_rate,migrant_ayg_cohort,migrant_graduation_rate,title_1_ayg_cohort,title_1_graduation_rate,homeless_ayg_cohort,homeless_graduation_rate,gifted-talented_ayg_cohort,gifted-talented_graduation_rate,military_connected_ayg_cohort,military_connected_graduation_rate,foster_ayg_cohort,foster_graduation_rate,rural_data_student_count,rural_data_rural_code
10,517,0.685,54,0.5,172,0.64,376,0.6990000000000001,50,0.667,53,0.679,50,0.545,51,0.863,50,0.02,50,0.02,6554,0
20,2925,0.848,302,0.8109999999999999,521,0.6829999999999999,1350,0.757,50,0.4,134,0.619,198,0.6459999999999999,365,0.9670000000000001,71,0.9009999999999999,50,0.364,34631,0
30,497,0.688,62,0.613,218,0.6609999999999999,430,0.705,50,0.98,497,0.688,50,0.364,50,0.92,50,0.5,50,0.5,5293,0
40,1620,0.8809999999999999,157,0.79,201,0.8059999999999999,789,0.84,50,0.6920000000000001,84,0.81,59,0.6779999999999999,97,0.9590000000000001,50,0.8,50,0.4,21892,0
50,98,0.847,50,0.765,50,0.765,50,0.787,50,0.02,50,0.889,50,0.75,50,0.98,50,0.02,50,0.02,1225,1
60,70,0.914,50,0.889,50,0.875,50,0.821,50,0.02,50,0.875,50,0.667,50,0.857,50,0.02,50,0.02,1121,1
70,555,0.6970000000000001,61,0.541,178,0.674,523,0.688,50,0.02,55,0.491,80,0.45,50,0.972,50,0.98,50,0.02,7430,0
100,152,0.7959999999999999,50,0.5,50,0.778,103,0.748,50,0.889,152,0.7959999999999999,50,0.875,50,0.98,50,0.02,50,0.667,2116,1
110,15 or less,0.9,,,,,,,,,,,,,,,,,,,250,2
120,215,0.642,50,0.48700000000000004,50,0.789,137,0.62,50,0.02,136,0.794,50,0.294,50,0.857,50,0.02,50,0.02,2205,0
